descricao;endereco;area;quartos;wc;vagas;valor;codominio;wlink
Apartamento com 2 Quartos à Venda, 40m²;Estrada Guilherme Weigert - Santa Cândida, Curitiba - PR;40;2;1;1;R$ 198.000;R$ 420;https://www.vivareal.com.br//imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-40m2-venda-RS198000-id-2614625742/
Residencial Mont Tannat - 35m²;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35;1;1;--;R$ 325.230;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-35m-2606101346/
Apartamento com 2 Quartos à Venda, 49m²;Rodovia BR-116, 17844 - Pinheirinho, Curitiba - PR;49;2;1;1;R$ 240.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-49m2-venda-RS240000-id-2614338345/
Apartamento com 2 Quartos à Venda, 173m²;Rua Mateus Leme - São Lourenço, Curitiba - PR;173;2;3;2;R$ 1.380.000;R$ 1.050;https://www.vivareal.com.br//imovel/cobertura-2-quartos-sao-lourenco-bairros-curitiba-com-garagem-173m2-venda-RS1380000-id-2608821597/
Apartamento com 2 Quartos à Venda, 89m²;Portão, Curitiba - PR;89;2;2;2;R$ 530.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-89m2-venda-RS530000-id-2612534875/
Apartamento com  Quarto à Venda, 43m²;Rua Desembargador Motta, 1499 - Batel, Curitiba - PR;43;1;1;--;R$ 250.000;;https://www.vivareal.com.br//imovel/apartamento-1-quartos-batel-bairros-curitiba-43m2-venda-RS250000-id-2615020324/
Apartamento com  Quarto à Venda, 29m²;Avenida Visconde de Guarapuava, 3000 - Centro, Curitiba - PR;29;1;1;29;R$ 289.990;;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-com-garagem-29m2-venda-RS289990-id-2614620896/
Apartamento com  Quarto à Venda, 39m²;Travessa Arnoldo Kuhl, 110 - Portão, Curitiba - PR;39;1;1;1;R$ 265.000;R$ 460;https://www.vivareal.com.br//imovel/apartamento-1-quartos-portao-bairros-curitiba-com-garagem-39m2-venda-RS265000-id-2614369381/
Residencial Mont Tannat - 67m²;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;67;2;2;1;R$ 555.250;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-67m-2606104280/
Apartamento com 3 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Bigorrilho, Curitiba - PR;156;3;4;3;R$ 950.000;R$ 1.200;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-156m2-venda-RS950000-id-2615020302/
Apartamento com 3 Quartos à Venda, 72m²;Rua Oliveira Viana, 110 - Hauer, Curitiba - PR;72;3;1;1;R$ 265.000;R$ 540;https://www.vivareal.com.br//imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-72m2-venda-RS265000-id-2615668300/
Apartamento com 2 Quartos à Venda, 49m²;Rua Lothario Boutin, 553 - Pinheirinho, Curitiba - PR;49;2;2;1;R$ 250.000;R$ 337;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-49m2-venda-RS250000-id-2614633612/
Apartamento com 2 Quartos à Venda, 54m²;Rua João Bettega, 644 - Portão, Curitiba - PR;54;2;2;1;R$ 295.000      Preço abaixo do mercado;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-54m2-venda-RS295000-id-2614896751/
Apartamento com 4 Quartos à Venda, 300m²;Rua Alferes Ângelo Sampaio, 100 - Batel, Curitiba - PR;300;4;5;4;R$ 4.776.877;R$ 3.000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-300m2-venda-RS4776877-id-2615684957/
Apartamento com 4 Quartos à Venda, 198m²;Rua Brigadeiro Franco, 2480 - Centro, Curitiba - PR;198;4;5;2;R$ 990.000;R$ 1.200;https://www.vivareal.com.br//imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-198m2-venda-RS990000-id-2493726880/
Residencial Mont Tannat;Avenida Visconde de Guarapuava, 3130 - Centro, Curitiba - PR;35-72;1-2;1-3;--;A partir de     R$ 325.230;;https://www.vivareal.com.br//imoveis-lancamento/residencial-mont-tannat-2598031692/
